linha,cluster_order,latitude,longitude,cluster_count
756,3,-22.915121755706046,-43.682697090544266,3987
759,1,-22.935633354114714,-43.655969559434745,2406
388,1,-22.935632067661274,-43.65591509140576,4759
759,3,-22.93708326923077,-43.65524769230769,104
756,4,-22.91669361904762,-43.63255142857143,105
388,5,-22.880077131782947,-43.62595217054263,129
852,5,-22.968201052631578,-43.62176947368421,19
838,3,-22.96827779904306,-43.62162958133971,836
759,4,-22.879179444444443,-43.62051044444444,90
2336,1,-22.917126022414052,-43.60795801272149,33015
852,4,-22.962143333333334,-43.606028571428574,21
838,4,-22.928448092105263,-43.5733275,152
867,5,-23.066726568627452,-43.56793343137255,102
838,5,-22.91271375,-43.56425211538462,104
2336,4,-22.90248443708609,-43.56217483443709,151
2336,5,-22.89046882352941,-43.55957176470588,34
2336,2,-22.901758827054795,-43.55853977739726,1168
852,3,-22.902474074074075,-43.55599629629629,27
867,3,-22.90245625,-43.55597654411765,136
864,2,-22.901868112161722,-43.55577245516792,12268
838,2,-22.901589168656393,-43.55530828087693,4607
867,2,-22.901530812870448,-43.555024754445384,2362
852,2,-22.901492895863054,-43.55479166904422,701
397,1,-22.902084546132063,-43.554754596810255,6709
867,4,-22.901277333333333,-43.55388518518519,135
918,1,-22.894507073940282,-43.53241458182816,21869
852,1,-22.89440757436319,-43.532342931799505,6085
2803,1,-22.89412085998793,-43.53226972420036,16570
867,1,-22.89426015050778,-43.532148337108204,13687
864,1,-22.894050188128446,-43.532046347418394,33913
838,1,-22.894023625227295,-43.53202157861996,20898
918,4,-22.892608962962964,-43.529963333333335,135
2803,4,-22.890387556818183,-43.52550534090909,176
554,2,-23.02499668720191,-43.52160006955485,5032
554,4,-23.011822335526315,-43.51381427631579,304
864,5,-22.87948148854962,-43.50435549618321,262
397,3,-22.883551142857144,-43.49504661654135,665
2803,3,-22.85641064516129,-43.49393650537635,186
2803,2,-22.85621990430622,-43.493153684210526,209
759,5,-22.855260975609756,-43.49249975609756,82
388,3,-22.855195286624205,-43.492234968152864,157
803,2,-22.878883880330793,-43.49151936922328,6167
918,2,-22.89498170441676,-43.490636545866366,1766
918,5,-22.88276068627451,-43.486312843137256,102
553,2,-23.02079433497537,-43.48280354679803,2639
315,5,-23.020901082352943,-43.48270943529412,425
553,4,-23.019633980582523,-43.48213139158576,309
864,4,-22.875563742331288,-43.46542263803681,489
397,5,-22.873130679611652,-43.46491067961165,103
864,3,-22.87591469712016,-43.46365067858325,3021
2336,3,-22.86033606557377,-43.455711377049184,305
917,4,-22.878157777777776,-43.43032090277778,144
917,2,-22.878556018808776,-43.429404043887146,319
878,3,-22.876196035502957,-43.419428806706115,1014
756,1,-22.875902665839046,-43.419415423436064,18527
803,1,-22.87589309262375,-43.41939841361906,22586
624,2,-22.829073477011494,-43.41909261494253,348
803,5,-22.88493954314721,-43.399778781725885,197
917,3,-22.885678776595746,-43.399156223404255,188
779,1,-22.81732686090441,-43.393548682312534,8735
457,3,-22.817342827490776,-43.393539446494465,2168
399,1,-22.817409505139256,-43.393484735576926,12064
292,2,-22.817308034926118,-43.39347324313951,5211
298,1,-22.817525646753246,-43.39341847532467,11550
665,3,-22.817602700196183,-43.39338232744783,5607
779,4,-22.818212261904762,-43.39125333333333,84
298,4,-22.814366706349205,-43.38249242063492,252
399,2,-22.814617818608287,-43.38239473807662,1279
779,2,-22.814827631257632,-43.38228118437119,819
292,5,-22.81515129682997,-43.38211253602306,347
298,5,-22.815109086021504,-43.38210865591398,186
638,4,-22.85369861878453,-43.376198453038675,181
803,3,-22.935894254658386,-43.371936836180126,2576
624,4,-22.86128889908257,-43.37135880733945,109
665,2,-22.858146171708913,-43.37118412428455,6115
638,3,-22.86074820754717,-43.37043764150943,212
371,1,-22.877073896529144,-43.368081899148656,1527
917,1,-22.876981209262436,-43.36783651801029,1166
779,3,-22.806162630057802,-43.36759517341041,346
624,1,-22.87707435921422,-43.36734010289991,1069
779,5,-22.80586794871795,-43.366923974358976,78
399,3,-22.806735471365638,-43.36647117180617,1135
309,3,-23.00151172248804,-43.36525913875598,209
624,5,-22.877166736842106,-43.36392021052632,95
665,4,-22.806085433386837,-43.36354690609952,2492
917,5,-22.87798842105263,-43.36307644736842,76
565,2,-22.91585647353362,-43.36126717453505,1398
878,2,-22.91561938365651,-43.36112754155125,7220
550,3,-22.946439233305853,-43.36021662819456,1213
565,4,-22.88016730458221,-43.35770320754717,371
878,1,-22.88012137404022,-43.35753910603291,27350
803,4,-22.880186280834916,-43.35733836812144,527
756,5,-22.88035558139535,-43.35724046511628,86
638,5,-22.86197,-43.35585,175
355,1,-22.860825786254352,-43.35584583212981,11771
638,1,-22.860757349873133,-43.355837512686776,28376
315,4,-22.860752955784374,-43.35579311326469,1651
371,5,-22.900367716535435,-43.354142125984254,127
298,2,-22.830930524475523,-43.3533687995338,858
371,3,-22.89877365116279,-43.35236106976744,430
371,4,-22.89779403587444,-43.352290672645736,223
554,1,-22.952276672139337,-43.34893686058962,14009
553,1,-22.95229251588609,-43.348931063779716,8498
315,3,-22.952333391148326,-43.34884783492823,1672
343,1,-22.95093626288275,-43.34825974010455,6695
565,1,-22.95105489737963,-43.348248618820186,15494
557,1,-22.95123668846555,-43.34820035446877,10551
550,1,-22.950924606442452,-43.348161994409445,22538
371,2,-22.901397463002112,-43.347278583509514,946
759,2,-22.831849465648855,-43.343181704834606,393
756,2,-22.832503346736047,-43.34250106196783,4228
774,3,-22.870351138613863,-43.341908762376235,202
355,4,-22.87006533640553,-43.341527769585255,1085
355,3,-22.871283186567165,-43.34112314925373,1340
557,2,-22.968422058175406,-43.33610934332305,2269
878,5,-22.97758786259542,-43.33406328244275,262
774,5,-22.877086547619047,-43.33405607142857,168
639,5,-22.83880356097561,-43.33331375609756,205
629,2,-22.825202196659312,-43.33246939174283,3173
905,2,-22.825273183111953,-43.33220390417457,2108
550,5,-22.972340449438203,-43.33092960674157,178
639,2,-22.8109410262418,-43.32980702436738,2134
639,4,-22.809958185117967,-43.32912408348457,551
774,2,-22.80738343102216,-43.327467709077915,2798
774,4,-22.847771264367815,-43.32488005747126,174
629,4,-22.82851262589928,-43.3194126618705,278
905,3,-22.820051264822133,-43.31678561264822,253
457,5,-22.902947270072993,-43.31397496350365,685
343,2,-23.00552371402467,-43.31253851073549,2189
497,1,-22.804488174963474,-43.310037351283654,38328
483,1,-22.804420101406926,-43.3099655551255,51673
343,3,-22.987659843400447,-43.30934096196868,447
557,5,-22.987349166666668,-43.308573555555554,180
2803,5,-23.007662792207793,-43.30391577922078,154
878,4,-23.00813867595819,-43.30341911149826,574
355,2,-22.81711374445149,-43.30173022828155,6308
905,1,-22.817117947284345,-43.30163073482428,7512
639,1,-22.81711754095309,-43.30159582743857,21488
629,1,-22.817122551056134,-43.30157616174583,17138
774,1,-22.81710884598958,-43.3015738276245,11707
292,3,-22.817180386740333,-43.30156703098727,4163
457,4,-22.885810361388494,-43.30038868283405,2103
292,4,-22.865397973137974,-43.29952451770452,819
232,1,-22.902309183590987,-43.29846899464484,9897
606,1,-22.902283469332023,-43.2984125785133,18309
665,1,-22.792602480062694,-43.29440576038353,21693
606,2,-22.89576461448598,-43.294192628504675,856
232,5,-22.905091176470588,-43.29295470588235,34
100,1,-22.889049803705454,-43.29265409016953,19053
457,1,-22.889417934756537,-43.29245393139842,12507
422,1,-22.88949726019001,-43.292331199560735,39156
292,1,-22.868335049668875,-43.291568515954246,6644
457,2,-22.868308688245314,-43.29155058603067,2935
422,2,-22.891315,-43.29142,2
232,2,-22.90072454258675,-43.29027876971609,317
232,4,-22.905110526315788,-43.2887347368421,76
422,5,-22.88751,-43.28738,1
497,5,-22.837225180722893,-43.28709739759036,415
483,5,-22.83728303030303,-43.28694071301248,1122
483,2,-22.836854964028777,-43.28412425391451,11815
497,2,-22.83683632631579,-43.28392757894737,3800
606,5,-22.90190846153846,-43.27976692307692,39
422,3,-22.911425,-43.272435,2
422,4,-22.90334,-43.26957,1
918,3,-22.867670457665906,-43.25689267734554,874
415,2,-22.946320399257196,-43.256618848653666,1077
415,1,-22.93006589981926,-43.25422707203718,11619
565,5,-22.993492883435582,-43.25392809815951,163
309,5,-22.993420289855074,-43.25383695652174,69
100,5,-22.84272,-43.25382,187
550,4,-22.993444549763034,-43.25375957345972,211
629,5,-22.885908410596027,-43.251910927152316,151
905,4,-22.86650550200803,-43.24963875502008,249
905,5,-22.856473870967744,-43.24871516129032,62
309,4,-22.992644642857144,-43.24865761904762,84
343,5,-22.875135301204818,-43.24259277108434,83
553,5,-22.874453707865168,-43.24172007490637,267
309,1,-22.87488907706609,-43.24136370899916,45182
108,1,-22.874891398704357,-43.241308679328625,13584
